,cluster
CY025859,38
CY093263,38
KC781389,58
KY044962,58
KX406019,58
CY216057,38
MK744720,38
MN000600,38
MT330576,58
KF790407,38
KF790212,38
KX005970,58
CY222573,38
CY216065,38
MH126401,38
MK630786,58
MT330584,58
KX406251,58
CY220247,38
MK630794,58
MT330592,58
CY220239,38
MH126411,38
MK676827,38
MN000608,38
KY044354,38
KX414920,38
CY222053,38
MH183469,58
KX414912,38
CY222061,38
MH585868,38
MK676835,38
MN000616,38
KX406971,58
CY222109,58
MH183477,58
KX407667,58
CY223165,38
MH585876,38
MK268557,38
MK715706,58
KT843470,38
CY223173,38
MK744192,38
MN000624,38
KT843433,38
CY225350,38
MH245909,58
MK715714,58
KX003627,38
KX003635,38
KX003643,38
KX003651,38
KX003659,38
KX003667,38
KX003674,38
KX003680,38
KX003686,38
KX003693,38
CY228813,38
CY234344,38
MH898000,38
MK744164,38
MN000632,38
KU590854,38
KX003707,38
KX003715,38
KX003723,38
KX003731,38
KU590942,38
KX003747,38
KX003755,38
KX003771,38
KX003763,38
KX918636,58
MK772135,38
KX003779,38
KX003787,38
KX003795,38
KX003803,38
KX003811,38
KX003819,38
KX003827,38
KX003835,38
KX003843,38
KT844331,38
CY235504,38
CY235496,38
MH306751,38
MK027491,38
MK772143,38
MN246189,38
KX003851,38
KX003859,38
KX003867,38
KX003875,38
KT844127,38
KT844135,38
KT844143,38
KT844151,38
KT843621,38
KY116086,38
CY230746,38
MH305636,58
MN000637,38
MN246197,38
KT844159,38
KY117007,38
KT844167,38
KT844175,38
KT844183,38
KT844191,38
KT844199,38
KT844207,38
KT844215,38
KT844223,38
KT844231,38
KC883402,38
KY115790,58
MH305644,58
KT844239,38
KU590101,38
KU589683,38
KU590109,38
KU589691,38
KU590117,38
KU590124,38
KU589699,38
KU589707,38
KU590132,38
KU589715,38
KU590140,38
KU589974,38
KU590305,38
KU589982,38
KU590313,38
KU589990,38
KX003883,38
KY115798,58
CY235640,38
CY235632,38
MH306763,38
MH898008,38
KU590015,38
KU590329,38
KU589998,38
KX412093,38
KX412101,38
KX412109,38
KX412117,38
KX412125,38
KX412133,38
KT844265,38
KX915604,58
CY239904,38
MK999450,58
KX412141,38
KX412149,38
KX412163,38
KX412171,38
KX412179,38
KX412187,38
KX412195,38
KU589510,38
CY239577,58
MH897954,38
MH358486,38
MN003522,58
KU591379,38
KX412200,38
KU591405,38
KX412204,38
KU589534,38
KU589541,38
KX917860,38
CY240087,38
MH359822,58
MN221597,38
MN246218,38
KU589549,38
KU589564,38
CY019955,37
KX412209,38
KX412217,38
KX412225,38
KX412233,38
KX412241,38
KX915996,58
CY239633,58
MH358494,38
MH845774,38
MN003530,58
KX412249,38
KX412257,38
KX412265,38
KX412273,38
KX003966,38
KU590321,38
KX003974,38
KT844347,38
KX915988,58
CY240079,38
MN246226,38
MN221605,38
KX003982,38
KU591552,38
KX003990,38
KX003997,38
KU591560,38
KU591797,38
KU591976,38
KU591984,38
KU591992,38
KT889133,38
KX916788,38
KY044187,38
CY240063,38
CY242222,38
MN083370,58
KU591805,38
KU591813,38
KU591821,38
KU590762,38
KU590770,38
KX412292,38
KU591829,38
KU592000,38
KU592008,38
KX916780,38
CY240071,38
MH601233,38
MN318977,38
MN084112,38
KU592016,38
KU591837,38
KY116959,38
KU592024,38
KX412300,38
KU592032,38
KU592040,38
KU591845,38
KU592048,38
KU591853,38
KU590778,38
CY208928,38
KY003458,38
CY244513,38
CY242310,38
MH601242,58
MN318985,38
MN084120,38
KY116951,38
KU592056,38
KU592064,38
KU590796,38
KU592072,38
KU591861,38
KU591868,38
KU591876,38
KU592080,38
KX412317,38
KU592088,38
KT844356,38
CY208920,38
KY003415,38
CY242318,38
MH601250,58
MN083378,58
KX412324,38
KX412331,38
KX412338,38
KU590526,38
KU590534,38
KU590542,38
KU590550,38
KU591268,38
KU591276,38
KU591284,38
KT843655,38
CY243519,38
MN221610,38
MN423454,38
KU592120,38
KU592127,38
KU591590,38
KU509767,58
KX004699,58
KX004186,58
KX413457,38
KX413521,38
KX413529,38
KT889139,38
CY211522,38
CY210203,38
CY243535,38
MH601254,38
MN221618,38
MN423462,38
CY209120,38
CY243527,38
CY244942,38
MN552551,38
MN371525,38
KT843776,38
CY227062,38
CY209128,38
CY243543,38
MH601266,58
KT843784,38
CY210432,38
CY244950,38
CY243551,38
MN638432,38
MN423467,38
KT844038,38
CY210440,38
MH601274,58
MN423475,38
CY212474,38
CY243567,38
MH601282,38
MN507299,38
KT843801,38
CY212482,38
CY243575,38
CY244966,38
MH600119,58
MN507307,38
MN638446,38
KT843809,38
CY243583,38
MH600575,38
MH792474,38
MN507244,58
KT843817,38
CY213154,38
CY228086,38
CY244974,38
CY243599,38
MH600127,58
MN552556,38
KT843825,38
CY214738,38
CY244982,38
CY243607,38
MH600135,58
MN552564,38
KT836727,58
KT843833,38
CY214746,38
CY230911,38
CY243591,38
MH600585,38
KC780106,58
KU592781,58
KT836731,58
KU592860,58
KU592859,58
KT843841,38
CY243615,38
MH600593,38
MH792434,38
MH600144,58
MN638451,38
MN881125,38
KT837123,38
KU590652,38
CY243623,38
MN881133,38
MN638459,38
CY243639,38
CY243631,38
MH669923,58
MH669563,38
MH845782,38
MN947753,38
KU590660,38
CY243670,38
CY244998,38
MH669571,38
MH845790,38
KX003495,38
KU590668,38
CY243655,38
MH726692,58
KU589428,38
CY243678,38
MH729413,38
MT030881,38
KC780781,58
KT837722,38
KX003502,38
CY244529,38
CY244990,38
MK268517,38
MK181827,38
MK182039,58
KU590075,38
KU589667,38
CY244617,38
MK181875,38
MK268569,38
KU589675,38
KU590083,38
CY244625,38
MK181835,38
MK268392,38
MN819585,58
KU591208,38
CY244633,38
MK245814,58
MN819592,58
KT837132,38
MK363611,38
MN819907,38
CY244790,58
MK245782,58
MN819915,38
KU590861,38
CY245150,38
MK363411,38
MN819923,38
KU590868,38
CY245126,38
CY247022,38
MK556857,58
MK364392,58
MN948051,58
KU590876,38
CY245142,38
MK556865,58
MK364320,58
MT030891,38
MT056186,38
KU590884,38
CY247030,38
CY245134,38
MK475318,58
MT057902,58
MT034543,58
KU591217,38
CY250436,58
CY250444,58
CY245478,58
MK623974,38
MK474845,38
MT057913,58
MT034617,58
KU590097,38
CY257469,58
CY245486,58
MK474781,38
MK623982,38
MT168657,38
MT056194,38
KU591225,38
CY247086,38
MK475494,58
MT167201,58
MT057920,58
KU590892,38
CY247094,38
MK744731,38
MK623060,38
MT167209,58
MT057927,58
KX003515,38
CY247102,38
MK744739,38
MK623030,38
KX003523,38
CY257621,38
CY250027,38
MK623341,58
KX003531,38
CY250035,38
CY257629,38
MK623349,58
KT843553,38
MH246258,38
CY256237,38
KT843941,38
MK772154,38
MK623952,38
KU589623,38
CY261922,58
KT843603,38
MK772925,58
CY260857,38
MH246266,38
MK381471,38
CY262065,58
CY261631,38
MH126413,38
MK400713,58
MK400714,38
CY261639,38
CY261647,38
CY261655,38
CY265085,38
MK380017,38
CY265483,58
KX003547,38
CY265475,58
MH126428,38
CY265093,38
MK576738,58
MK576746,58
MK576754,58
KX003555,38
CY265491,58
MK743202,38
KX003563,38
MH083324,58
MK763512,38
MH081932,38
KX003571,38
MH669458,38
MH601290,38
KX003579,38
MH601297,38
MH601306,38
MK912390,58
MK912398,58
MK912406,38
MK912414,38
MH601314,38
MH131214,38
MH131222,38
MN169312,38
MN169320,38
MH131230,38
MH131238,38
KX003587,38
MH131246,38
MK960332,38
MK960340,38
MK960348,38
MH131254,38
MN074154,58
MH131262,38
KX003595,38
MH131270,38
KX003603,38
MH131278,38
KX003611,38
MH131286,38
KX003619,38
CY021813,20
CY020541,20
CY021933,20
CY021021,20
CY019899,38
CY022938,38
CY021941,38
CY021845,38
CY019891,38
CY021821,37
CY022093,37
CY022021,37
CY020221,38
CY021829,38
CY021901,37
CY021109,38
CY019907,38
CY020317,20
CY020413,20
CY022013,20
CY021093,38
CY021797,37
CY021805,20
CY021789,20
CY020381,20
CY021069,20
CY020405,20
CY019915,38
CY022946,38
CY020373,20
CY021997,20
CY021837,38
CY021101,38
CY021077,38
CY019947,37
CY021013,20
CY020389,20
CY022085,38
CY021117,38
CY020397,20
CY020549,20
CY026411,37
CY020517,20
KX879573,38
KY925199,58
KY925323,38
GQ485661,58
MT406777,23
MT406801,23
GQ219574,58
GQ219573,58
MF613851,39
MF046523,29
MF046281,34
MF613845,36
KU289738,0
CY079452,45
CY097534,40
KP636478,25
MN210123,30
MT421019,34
MT421027,41
MT421043,34
MT421099,34
MT421107,41
MT421123,41
MT421141,34
MT421152,34
CY190587,19
CY190683,40
CY191027,27
CY191035,27
CY191275,44
MK237762,0
MT421176,29
MT421184,34
MT421200,29
EU500852,0
CY138640,29
CY138648,25
CY138664,29
CY138672,29
CY138769,0
CY138817,29
CY138842,29
CY138850,25
CY138858,25
CY138866,25
CY138045,34
CY138874,25
CY138882,34
CY138890,34
CY138898,34
CY138906,39
CY138914,34
CY138053,34
CY138923,39
CY138922,25
CY138933,39
CY138941,34
CY138949,34
CY138957,25
CY138965,25
CY138973,25
CY138984,34
CY138992,25
CY139032,34
CY139040,25
CY139048,25
CY139059,34
CY139067,25
CY139075,34
CY138065,25
CY139083,25
CY139091,34
CY139107,25
CY139124,39
CY139132,25
CY139140,34
CY139148,25
CY139156,25
CY139165,25
CY139173,25
CY139181,25
CY139190,25
CY139189,34
CY139199,25
CY139207,34
CY139215,25
CY139239,25
CY139327,45
CY139344,34
CY139369,34
CY139385,39
CY139393,39
CY139411,34
CY139412,39
CY139421,39
CY139429,34
CY138073,34
CY139440,34
CY139450,34
CY139459,25
CY139467,34
CY138081,34
CY139489,39
CY139505,34
CY139513,34
CY139522,34
CY139531,34
CY139550,43
CY128758,34
CY128766,34
CY128620,34
CY129195,30
CY128584,30
CY129261,44
CY129334,0
CY129150,30
CY128714,0
CY129310,30
CY129253,30
CY129294,30
CY129205,30
CY129269,30
CY129070,44
CY129358,30
CY129318,34
CY129245,34
CY128750,34
CY128668,30
CY128597,30
CY128598,0
CY128596,34
CY129046,30
CY128774,34
CY129094,30
CY129062,30
CY129213,30
CY129221,34
CY128610,34
CY129187,25
CY128639,25
CY129078,34
CY129174,29
CY129175,34
CY129110,34
CY128676,29
CY129102,34
CY128658,34
CY129054,30
CY129126,34
CY129134,34
CY129086,34
CY129142,34
CY129158,34
CY129342,30
CY129014,25
CY128982,25
CY129006,25
CY128950,25
CY129030,30
CY129022,25
CY128974,34
CY128484,34
CY128516,34
CY128524,34
CY128508,34
CY128500,34
CY128990,34
CY128966,34
CY128548,34
CY128532,34
CY128540,34
CY129326,0
CY129237,39
CY128722,39
CY129278,30
CY045303,34
CY045311,34
CY047696,30
CY144571,30
CY138528,29
CY138552,29
CY138568,29
CY138576,29
CY138584,29
CY138592,29
CY138608,29
CY138616,29
CY138624,29
CY138632,29
CY128894,40
CY128878,30
CY125654,34
CY128852,34
CY128868,34
CY125622,25
MK535125,19
CY187021,30
CY204153,34
KY284396,0
CY021245,44
CY139223,25
CY139231,25
CY139279,25
CY129166,34
CY125638,34
CY128902,34
CY128934,34
CY128828,34
CY128836,34
CY128844,34
CY125630,34
CY133274,0
CY166565,29
CY166897,19
CY096978,34
CY076093,39
CY097159,39
CY079404,39
KY561267,39
CY076165,28
KU289746,0
KU289754,0
KU289762,0
KU289770,0
KU289778,0
KU289786,0
KU289794,0
KU289802,0
KU289810,0
KU289818,0
KU289826,0
KU289834,0
KU289842,0
KU289850,0
KU289858,0
KU289871,0
KU289879,0
KU289887,0
KY551284,0
KX714378,34
KX714386,25
KX714394,25
KX714314,39
KX714418,39
KX714426,29
KX714442,36
KX714450,36
KX714458,29
KX714466,29
KX714322,25
KX714330,34
KX714338,34
KT338349,36
KT338420,36
KT338452,36
KT338537,34
KT338569,34
KX714362,36
MH546171,45
CY076349,44
CY076005,0
CY047011,0
CY076229,0
CY076341,44
CY076357,0
CY076413,0
CY045375,0
CY076685,44
KY550771,0
KY550755,0
KY550825,0
CY033444,45
KY550849,0
MH546179,45
MH546187,45
MH546195,45
KY551300,0
KY551331,25
KU201728,13
CY079574,19
CY079468,39
CY132893,34
CY132917,34
CY132973,0
CY132989,27
CY132997,0
CY133013,19
CY133529,44
CY133037,0
CY166386,25
CY186656,34
CY186675,25
KY561170,19
KY284361,0
MK237830,34
CY097203,27
CY097195,29
KY550888,0
CY130469,25
CY135671,34
CY135729,25
CY135197,25
CY135753,25
CY135216,25
CY135217,25
CY135226,25
CY136043,34
CY136019,34
CY143484,25
CY143500,25
CY143516,34
CY143524,25
CY143548,25
CY143556,36
CY143564,34
CY143572,25
CY143580,25
CY125733,41
CY196017,39
CY196025,39
CY196089,34
CY196145,27
CY196153,27
CY196169,34
CY196178,34
CY196218,25
CY196226,25
CY196286,25
CY196294,25
CY196379,25
CY196643,25
CY038386,25
CY039802,36
CY077380,25
CY077238,36
CY047027,25
CY143170,25
CY143194,25
CY143444,36
CY135455,39
CY135399,39
CY135527,34
CY135535,40
CY135551,34
CY142006,39
CY142426,39
CY142434,39
CY142610,34
CY142626,30
CY142025,39
CY142041,39
CY142065,39
CY142970,34
CY132790,34
KY551023,0
KY551253,0
CY047680,34
CY190027,19
CY140852,19
CY079308,0
CY133657,0
CY133658,30
CY133669,0
CY133677,0
CY133685,29
CY133693,44
CY133702,44
CY133701,0
CY166768,34
CY166832,34
CY133641,44
CY132822,45
CY132821,0
CY167175,45
CY167192,45
CY167232,0
CY167240,39
CY186788,45
KY561282,30
KY561199,44
MN431097,39
MN431175,44
MN431180,44
MN431168,29
CY097678,28
CY097686,44
KY550904,0
CY133357,43
CY166144,34
KY583874,25
KY284499,43
KY561265,19
MK236883,19
MK237403,34
MK237204,25
MK237441,25
MK236771,25
MH546203,45
CY186847,19
CY186855,34
CY186919,44
CY186804,19
CY187029,0
KJ527638,34
KJ527622,0
KJ568193,34
KJ568001,0
KJ568257,30
KJ568217,19
KJ568057,19
KJ568137,19
KJ567913,19
KJ568249,30
KJ568161,25
KJ567929,34
KJ568281,30
KJ568017,39
KJ567985,34
KJ567881,34
KJ568065,30
KJ568081,19
KJ567993,34
KJ568417,34
KJ568377,19
KJ567873,19
KJ568113,19
KJ568305,19
KJ568145,19
KJ568321,19
KJ567857,19
KJ568097,25
KJ568361,25
KY583920,30
KY583859,29
KY284471,29
MK237255,39
MK237960,39
MK236842,34
MK237082,34
MK236982,34
MK237473,34
MK236653,30
MK237128,30
MK237717,29
MK237818,29
MK237216,34
MK237405,34
MN430989,45
MN431023,34
MN794942,19
MN430905,19
MH546211,45
CY076477,25
KU201736,13
MK236649,45
KY551095,0
KY551087,0
KY551071,0
KY551127,0
KY551119,0
KY551103,0
KY551111,0
CY140953,30
CY141057,25
KY551308,0
KY551459,0
KY551395,0
KY551411,0
KP739421,13
CY079420,30
CY079428,30
CY079340,30
CY132941,19
CY133085,29
CY133234,45
CY132721,30
CY133153,45
CY166322,19
CY166533,29
CY166629,43
CY166637,45
CY166645,45
CY166186,39
CY166194,19
CY166226,43
CY166680,34
CY187152,29
CY187160,34
CY187127,44
CY187184,34
CY187135,44
CY187144,45
CY187143,44
KJ568033,25
KJ568121,19
KJ568393,0
MK237373,34
MK237956,29
MK237437,29
MK236848,44
MK237402,29
MK237540,44
CY097454,19
CY097358,25
CY097502,29
KX185901,41
MH499035,25
MH498968,25
MH499091,1
CY043976,25
CY035807,36
CY077356,25
CY166792,19
CY166824,45
CY101798,25
MH546219,45
CY133877,19
CY134311,39
CY133885,19
CY120619,19
CY120627,45
CY177021,19
CY093790,19
CY093798,43
CY094557,19
CY093806,19
CY094381,43
CY094389,19
CY093822,19
CY093830,19
CY094397,19
CY093838,19
CY093846,19
CY094405,19
CY094413,19
KX351551,45
MK928132,19
MK995694,19
CY094421,19
CY033356,19
CY032900,19
CY093854,19
CY033396,19
CY032704,19
CY033420,19
CY032908,34
CY094429,19
KY983104,19
KY983193,19
KY983173,19
KY983201,19
KY983122,43
KY983114,19
KY983205,19
KX351713,34
MH251201,19
KX351587,45
MH546227,45
KX960379,4
CY135703,25
CY196343,34
CY196371,34
CY078915,36
CY130332,25
CY133456,27
GQ923189,45
GQ923197,45
CY140535,34
CY140543,19
MG280342,19
KY575196,41
CY140623,25
CY133860,0
CY133859,39
CY133424,19
MK236677,19
MK237295,19
CY125445,30
CY125533,30
CY125509,30
CY125461,30
CY125541,30
CY125549,30
CY125453,30
CY125293,30
CY125525,30
CY125469,30
MG280221,30
MG280368,45
MN431206,19
MH546235,45
KU201752,13
MH546243,45
KU201616,13
KY551355,0
KU201880,13
KU201888,13
KU201824,13
KU201856,13
KU201864,13
KT889241,38
KT889242,38
CY113229,38
CY112460,38
MT406817,19
MH547050,31
MT406825,33
MT439897,23
MT406833,20
MT406849,31
MT406857,31
MT406865,36
MT406873,19
MT406881,19
MT406897,20
MT406913,9
MT406921,13
MT406937,23
HM570058,36
KU646952,13
MT406945,6
MH107207,13
MT406953,31
KU646984,41
MT406977,19
MT406993,23
MT407017,9
MT407025,9
MT407041,32
MT407049,33
MT407057,33
MT407073,33
MT407081,13
MT407129,23
MG891804,13
MG891805,13
MG891806,13
MG891807,13
MN565986,13
MN566011,13
MN566028,13
KP636486,9
KM251462,13
CY187618,9
CY191675,9
CY191683,9
CY191691,9
CY191699,9
CY191707,9
CY191715,9
CY191723,9
CY191731,9
CY192443,9
CY192451,9
CY192459,9
CY192467,9
CY192475,9
CY192483,9
CY192491,9
CY192499,9
CY192507,9
CY192515,9
CY192523,9
CY192531,9
CY192539,9
CY192547,9
CY192555,9
CY192563,9
CY192571,9
CY192579,9
CY192587,9
CY192595,9
CY191739,9
CY192603,9
CY192611,9
CY192619,9
CY192627,9
CY192635,9
CY192643,9
CY192651,9
CY192659,9
CY192667,9
CY192675,9
CY191747,9
CY192683,9
CY192691,9
CY192699,9
CY192707,9
CY192715,9
CY192723,9
CY192731,9
CY192739,9
CY192747,9
CY192755,9
CY191755,9
CY192763,9
CY192771,9
CY192779,9
CY192787,9
CY192795,9
CY192803,9
CY192811,9
CY192819,9
CY192827,9
CY192835,9
CY191763,9
CY192043,9
DQ371928,13
DQ371929,13
HM172072,13
CY181513,9
CY181521,9
CY181529,9
CY181537,9
CY181545,9
CY181553,9
CY181561,9
CY181569,9
CY181577,9
CY073088,58
CY031579,20
CY125910,20
CY125902,20
CY125838,20
MK616077,13
MF040672,13
KT699056,41
MH547058,31
KT717282,19
KT717298,19
KT717306,19
KT717266,19
KT717274,19
KT717250,19
KT717210,19
KM076704,41
KU881712,23
KU881704,23
KU881720,23
KU881696,23
KU881688,23
KU881672,23
KU881679,23
KM245331,41
MG871418,41
CY066823,58
CY055175,44
CY098222,19
KY584075,13
CY098230,19
JX465640,19
CY088572,19
CY098238,19
KX297740,9
CY098532,19
MF987893,9
MG386182,36
MG386197,13
MT407145,36
HM569659,58
HM569667,58
HM569675,58
HM569683,58
HM569691,58
CY047779,58
CY047787,58
CY047803,58
CY047811,58
CY047819,58
CY047827,58
CY047843,58
CY047851,58
CY047859,58
CY047867,58
CY047875,58
CY047883,58
CY047891,58
CY047899,58
CY047923,58
CY047955,58
CY047971,58
GQ117067,58
KC881876,58
KT835922,38
KX918444,58
CY219170,38
MH126433,38
MK630802,58
GQ221788,58
GQ117079,58
KX408379,58
CY220887,58
MH126441,38
MT167217,58
KX918452,58
CY220879,58
MH125674,58
MT303232,58
CY220423,38
MH125681,58
MK676357,58
MT303240,58
KX408387,58
CY220431,38
MH233359,38
MK676843,38
MN000672,38
MT330600,58
KX408395,58
CY224886,38
MK676851,38
MN000680,38
MT330609,58
KX006002,58
CY220975,58
MH183489,58
MK676367,58
MT330616,58
KX006034,58
CY220751,38
MH183493,58
MK715722,58
KT844366,38
KX408675,58
KY044655,58
CY223197,38
CY231051,38
MH305652,58
MN246237,38
MK744200,38
KT844061,38
CY223549,58
MH305660,58
KT844069,38
KX414185,38
CY223205,38
MH305668,58
MN246245,38
MK744208,38
MT422843,38
MT375624,38
KX406387,58
MH306767,38
KX406395,58
CY230530,38
MH306773,38
MT375632,38
MT422849,38
CY019963,37
CY230538,38
MK856545,38
MN084131,38
MT466112,58
KX411927,38
KX406411,58
CY231154,58
CY229013,58
MH306784,38
MH792482,38
MN084139,38
MK856553,38
MT466120,58
KX411935,38
KX406419,58
KX406427,58
MH306791,38
MN221629,38
MK856558,38
MT499606,58
KX411943,38
KX406435,58
MH358502,38
MK855614,58
KX411950,38
KX406443,58
CY234192,38
MN221637,38
MK856567,38
KX411958,38
KX406451,58
CY230642,38
MK855620,58
KC781018,58
KC780599,58
KU590454,38
KX406459,58
CY230650,38
MH898016,38
MH358510,38
MN003538,58
KX411966,38
KX414505,38
MH792490,38
MH358518,38
MN221645,38
MN246250,38
KX411973,38
KU590008,38
KX414489,38
CY231170,58
MH359846,58
MN003546,58
KX003382,38
KY044337,38
KX414497,38
CY236130,58
CY236122,58
MH358526,38
MH792498,38
MN221653,38
MN246258,38
MH540421,38
KX003390,38
KY044342,38
CY235600,38
CY235592,38
MN160776,58
MN422966,58
KX003398,38
KX414521,38
CY234506,38
CY235608,38
MN160784,58
MN427384,58
MN507127,58
MN422974,58
KU509625,58
KX414529,38
CY236214,58
MH446500,58
MN221658,38
MN423486,38
KX003406,38
KX414537,38
CY235712,38
MH446508,58
MN423494,38
MN221666,38
KU509633,58
CY235696,38
CY235704,38
MH845798,38
MK240796,38
MN318990,38
MN423502,38
KX413473,38
KX414161,38
KY044234,38
KX408795,58
CY235440,38
CY239681,38
MH669931,58
MN318998,38
MN423510,38
KX406875,58
MK268428,38
MK268588,38
MK077308,38
MN371744,58
KX004651,58
KX406883,58
MK077315,38
MH669579,38
KX004715,58
KX413094,38
KX916116,38
CY238883,38
MH845806,38
MH669587,38
MN947849,58
MN638246,58
KX918588,58
KY044748,58
CY238955,58
MH669595,38
MH845814,38
MN638254,58
MN947857,58
MN881141,38
MN638469,38
KX004723,58
CY238891,38
CY242150,38
MH669939,58
KX004731,58
KX918596,58
MH729421,38
MK077323,38
KX004739,58
KX413102,38
CY238899,38
MH845822,38
MH729429,38
KX918604,58
CY238915,38
MK181959,58
MN948062,58
KX004754,58
KX414793,38
CY238923,38
CY242158,38
MK181983,58
MT030902,38
KX004619,58
CY239585,58
MK398433,38
MK292609,38
MT030910,38
KX413753,38
CY239593,58
CY243766,58
MK364095,58
KX413761,38
KX407803,58
CY239920,38
MK364135,58
MK292595,58
MN819601,58
KX413769,38
KX407811,58
MK364609,58
KY044299,38
KX413777,38
KX415464,38
MK363451,38
MK446140,38
MT030918,38
KX919508,58
KX406075,58
KX410235,58
CY242062,38
MK363403,38
MN596841,38
MK446007,38
KX005978,58
KX410243,58
CY242070,38
MN976157,58
MN881258,58
KX406083,58
CY242390,38
MK623990,38
MT030926,38
MN881783,38
KX406091,58
CY244553,38
MK623998,38
MK398509,38
MN881791,38
KX919516,58
KX406099,58
KX416544,38
CY245198,38
MK556881,58
MK399279,58
MN948067,58
KX919524,58
KX406107,58
KX416552,38
CY247038,38
CY245206,38
MK399200,58
MN948075,58
KX915076,58
CY249947,38
MK475462,58
MN976159,58
MN976170,58
KX414145,38
CY256053,38
MK624006,38
MN976187,58
MN976179,58
KX414153,38
CY256037,38
MK475390,58
CY256045,38
MK474829,38
MK624014,38
MT034622,58
MT034633,58
KX005986,58
KX915212,58
MK676862,38
MK623068,38
MT168665,38
MT168673,38
KX005994,58
KX917548,38
MK626045,58
MT168687,38
MT168679,38
KX917556,38
MK623076,38
MK744755,38
KX414169,38
KY044304,38
KX915204,58
MK626053,58
KX414177,38
KX917876,38
CY260710,38
MK772936,58
KX918580,58
KX917868,38
CY261842,58
MK623357,58
KX915612,58
CY261834,58
MK623365,58
CY260718,38
KX919420,58
CY264084,38
KX919412,58
CY261993,58
MG978467,58
KX916716,38
CY262001,58
KX916708,38
CY264092,38
KX916828,38
CY264052,38
CY263350,58
MH083336,58
CY264473,38
CY263358,58
MH083344,58
CY211602,38
KY116486,38
MH246274,38
CY264481,38
MK381996,38
KY116494,38
CY265117,38
CY209496,58
MH246282,38
CY265125,38
MK401366,38
MK401367,38
MK502328,38
MK502336,38
MH083349,58
MK271167,58
MH081940,38
CY211906,38
CY215809,38
MH081947,38
CY211898,38
MK576762,58
MK576770,38
CY212850,38
MK743210,58
CY228054,38
CY212858,38
CY219178,38
CY218833,58
MK869075,58
MK912422,38
MK912430,38
MK927650,38
MN169328,38
MN169336,58
MN169344,58
MK960356,38
MK960364,38
MN074162,38
MN081066,38
MN154233,38
MN245895,38
MH700972,38
MH700980,38
MH700988,38
MH700996,58
MH701004,38
MH701012,38
MK898954,58
MK898962,58
MG914099,38
MG914107,38
