accession,x,y,z
KT836052,-0.9443573,-0.31865597,0.081534214
CY216609,-0.94294804,-0.31935802,0.09412456
MH083309,0.8864283,-0.46269417,-0.012608474
MT244098,0.89444923,-0.4464118,-0.026021793
KX412670,-0.9464477,-0.31344315,0.077396
MH081892,-0.9507821,-0.2991757,0.08066739
MK630770,0.89288086,-0.4502623,-0.0052705235
MT244105,0.8939857,-0.4472514,-0.02749035
KT835907,-0.95248395,-0.30159858,0.042574547
KX412678,-0.9464477,-0.31344315,0.077396
CY216633,-0.9489402,-0.3034076,0.08634994
MK772106,-0.9587999,-0.27914062,0.05275774
MK744672,-0.9587999,-0.27914062,0.05275774
MT244111,0.89444923,-0.4464118,-0.026021793
KT838345,-0.95182157,-0.30383164,0.041496508
KX412686,-0.9464477,-0.31344315,0.077396
CY220911,0.88347906,-0.46834633,-0.010796163
MH125602,0.8866027,-0.46232513,-0.013828209
MK772114,-0.95890063,-0.27830324,0.055288725
MK744680,-0.95890063,-0.27830324,0.055288725
KY044102,-0.9464477,-0.31344315,0.077396
KX412838,-0.9464477,-0.31344315,0.077396
CY220551,-0.94236827,-0.32467702,0.080789536
MH126369,-0.94584405,-0.3125697,0.08763089
MK630778,0.8876676,-0.4604488,-0.005763103
MT303224,0.8940406,-0.4470539,-0.028884783
KT837659,-0.943019,-0.32264796,0.08132348
KT841992,-0.94552714,-0.3157037,0.0794329
KX409707,0.88241667,-0.47034052,-0.010977059
CY220559,-0.94236827,-0.32467702,0.080789536
MH125610,0.88787144,-0.45996743,-0.010688701
MK676811,-0.95981723,-0.27500227,0.05589798
MN000552,-0.95981723,-0.27500227,0.05589798
MT330562,0.8982106,-0.43766224,-0.040861163
KT839381,-0.95096666,-0.30541566,0.048822988
KT842463,-0.9444312,-0.31945425,0.07745148
KX409715,0.87253475,-0.48810682,-0.020851525
CY223045,-0.9421627,-0.32124397,0.09556078
MH125618,0.8879572,-0.45973328,-0.01331543
MN000560,-0.9599637,-0.27483353,0.05418649
MK676819,-0.9599637,-0.27483353,0.05418649
MT330567,0.89907014,-0.43563563,-0.04352663
KT838698,-0.95096666,-0.30541566,0.048822988
KT839293,-0.95096666,-0.30541566,0.048822988
KX415704,-0.951624,-0.30357915,0.047450125
CY223053,-0.94216776,-0.32112855,0.095897734
MH126307,-0.9474821,-0.30821756,0.085320674
MH246242,-0.9474821,-0.30821756,0.085320674
MK772909,0.8924546,-0.45035574,-0.026542833
MT466096,0.894042,-0.44710723,-0.028001482
KT839990,-0.94351906,-0.32169658,0.07926516
KX003906,-0.94492114,-0.31551477,0.087031476
KX411299,0.87639844,-0.4812136,-0.018954972
CY230714,-0.94622207,-0.31199607,0.085570134
MH125626,0.8854104,-0.46459478,-0.014142085
MN000568,-0.9585203,-0.27933487,0.056665476
MK772119,-0.9585203,-0.27933487,0.056665476
MT466104,0.8945276,-0.4462179,-0.026644552
KT839906,-0.9418392,-0.3251899,0.08479642
KX411307,0.8772813,-0.47938046,-0.023912823
CY230722,-0.94316417,-0.32105696,0.08581272
MH125634,0.88579524,-0.46373248,-0.017859338
MN000576,-0.9585203,-0.27933487,0.056665476
MK772127,-0.9585203,-0.27933487,0.056665476
KX411859,0.8807761,-0.47316617,-0.018632345
CY230706,-0.94316417,-0.32105696,0.08581272
MH125642,0.88916785,-0.45757926,-0.0013633895
MK772917,0.8913645,-0.45316866,-0.010370927
KU589370,0.8790829,-0.47645575,-0.014249098
KY289350,-0.95427954,-0.29674393,0.035965223
CY209032,-0.95427954,-0.29674393,0.035965223
CY239744,-0.94316417,-0.32105696,0.08581272
CY230698,-0.94316417,-0.32105696,0.08581272
MH126377,-0.94686407,-0.3083019,0.09164258
MH897984,-0.94686407,-0.3083019,0.09164258
MN246141,-0.95880413,-0.27873448,0.05478753
MK856511,-0.95880413,-0.27873448,0.05478753
KY289394,-0.9554367,-0.29265645,0.03863739
CY213826,-0.9554367,-0.29265645,0.03863739
MH897992,-0.94551814,-0.3146315,0.08368039
MH126385,-0.94551814,-0.3146315,0.08368039
MN246149,-0.9602746,-0.27393636,0.053212978
MK856521,-0.9602746,-0.27393636,0.053212978
CY230690,-0.9451254,-0.3170621,0.07880044
MH125650,0.8857206,-0.46395016,-0.015789716
MN221565,-0.9585123,-0.27982315,0.054343577
MK856529,-0.9585123,-0.27982315,0.054343577
CY210687,-0.9429212,-0.318383,0.097631164
CY239736,-0.94765663,-0.3103996,0.07482756
CY230682,-0.94765663,-0.3103996,0.07482756
MH443420,0.8868573,-0.46185791,-0.013095164
MH125658,0.8868573,-0.46185791,-0.013095164
MK856537,-0.9588462,-0.27870107,0.05421884
MN221573,-0.9588462,-0.27870107,0.05421884
CY212786,-0.94252187,-0.3200458,0.096037775
CY230674,-0.9530456,-0.29431862,0.07127806
MH183453,0.89001906,-0.45580927,-0.010194393
MK855605,0.89138883,-0.45286918,-0.018315155
CY212794,-0.94252187,-0.3200458,0.096037775
CY228046,-0.94252187,-0.3200458,0.096037775
MH585852,-0.9451126,-0.31227574,0.096156016
MN000581,-0.9593647,-0.2772239,0.052594643
MN246157,-0.9593647,-0.2772239,0.052594643
CY234762,-0.95747054,-0.28191435,0.061436113
MH183461,0.8889104,-0.45795432,-0.010773171
MK999442,0.8921531,-0.45088556,-0.02766117
CY234770,-0.9573849,-0.28081745,0.06749599
MH792466,-0.94511807,-0.31393063,0.09055047
MH585860,-0.94511807,-0.31393063,0.09055047
MN246165,-0.96003914,-0.27521503,0.050807934
MN000589,-0.96003914,-0.27521503,0.050807934
MH359814,0.89001906,-0.45580927,-0.010194393
MN221581,-0.96003026,-0.27451882,0.054601915
MN246170,-0.96003026,-0.27451882,0.054601915
CY258508,0.8843888,-0.4664076,-0.017899213
CY256517,0.8843888,-0.4664076,-0.017899213
CY256509,0.8843888,-0.4664076,-0.017899213
CY258500,0.8843888,-0.4664076,-0.017899213
MH601171,-0.94551814,-0.3146315,0.08368039
MN638427,-0.9497566,-0.30232063,0.081021905
MN881117,-0.9497566,-0.30232063,0.081021905
CY257933,-0.94337136,-0.3184127,0.09307994
CY250627,-0.94337136,-0.3184127,0.09307994
MH601179,0.8857206,-0.46395016,-0.015789716
MN819899,-0.9504926,-0.30090356,0.07759468
MT030878,-0.9504926,-0.30090356,0.07759468
CY259882,-0.9452771,-0.31362072,0.08996238
CY250619,-0.9452771,-0.31362072,0.08996238
MT034593,0.8970573,-0.4407754,-0.03170751
MT034585,0.8970573,-0.4407754,-0.03170751
MG978451,0.8864283,-0.46269417,-0.012608474
CY263255,0.8864283,-0.46269417,-0.012608474
MH601182,-0.9474695,-0.30840966,0.084764704
MT034599,0.8973101,-0.4403039,-0.03110016
MT034609,0.8973101,-0.4403039,-0.03110016
CY264179,-0.9485057,-0.30425817,0.0881128
MH601194,0.88656104,-0.4624415,-0.012547077
MT167169,0.90851647,-0.41784453,-0.0019172089
MT167177,0.90851647,-0.41784453,-0.0019172089
CY263247,0.885863,-0.46373683,-0.0139603885
MG978459,0.885863,-0.46373683,-0.0139603885
MT167193,0.8970573,-0.4407754,-0.03170751
MT167185,0.8970573,-0.4407754,-0.03170751
CY264203,-0.94649273,-0.3112589,0.08526115
MH601202,0.88747287,-0.4607446,-0.010309497
MH601210,-0.94729275,-0.30925515,0.083652124
CY264195,-0.94649273,-0.3112589,0.08526115
MH669907,0.88738024,-0.4607698,-0.015731718
MH601218,0.88694346,-0.46171016,-0.012454238
MH081897,-0.94541323,-0.31346804,0.08905971
MK364033,0.8892277,-0.4572415,-0.014292029
MK245926,0.8892277,-0.4572415,-0.014292029
MH083317,0.8875235,-0.460617,-0.011572962
MK265658,0.8924546,-0.45035574,-0.026542833
MK364443,0.8924546,-0.45035574,-0.026542833
MH081905,-0.9461972,-0.3126604,0.083392106
MH126390,-0.9461972,-0.3126604,0.083392106
MK364067,0.8893733,-0.45693764,-0.014936058
MK556833,0.8893998,-0.45689887,-0.014537444
MH081916,-0.9452771,-0.31362072,0.08996238
MK398822,0.8927532,-0.4505352,-0.003120393
MK398750,0.8964332,-0.44265065,-0.021637121
MK556841,0.8964332,-0.44265065,-0.021637121
MK475534,0.8964332,-0.44265065,-0.021637121
MK474708,-0.9585123,-0.27982315,0.054343577
MK744691,-0.9585123,-0.27982315,0.054343577
MK744699,-0.9587517,-0.27914745,0.053589705
MK474668,-0.9587517,-0.27914745,0.053589705
MK626037,0.8912269,-0.4535267,-0.0053128293
MK623044,-0.9585123,-0.27982315,0.054343577
MK744707,-0.9585123,-0.27982315,0.054343577
MK556846,0.89273006,-0.45054123,-0.006753337
MK381995,0.89006466,-0.45570117,-0.011017089
CY025381,0.36482337,0.48039916,0.7975716
CY026035,-0.95904016,-0.27745715,-0.057092015
CY027411,0.3621495,0.48140234,0.79818505
CY025859,-0.9664327,-0.23457202,-0.10480375
CY093263,-0.95740086,-0.28481597,-0.04757603
KC781389,0.8841479,-0.46648717,-0.025927937
KY044962,0.8741972,-0.48505387,-0.022406256
KX406019,0.8741972,-0.48505387,-0.022406256
CY216057,-0.9449078,-0.31221968,0.09832632
MK744720,-0.9593353,-0.2757874,0.060141355
MN000600,-0.9593353,-0.2757874,0.060141355
MT330576,0.8982106,-0.43766224,-0.040861163
KF790407,-0.9653623,-0.254095,-0.059255727
KF790212,-0.9653623,-0.254095,-0.059255727
KX005970,0.8741972,-0.48505387,-0.022406256
CY222573,-0.94178474,-0.32363486,0.09111526
CY216065,-0.94178474,-0.32363486,0.09111526
MH126401,-0.94584405,-0.3125697,0.08763089
MK630786,0.8933661,-0.4490348,-0.016272714
MT330584,0.90048283,-0.43317756,-0.038573153
KX406251,0.87816685,-0.47807583,-0.016324487
CY220247,-0.94495136,-0.31320393,0.094710894
MK630794,0.8933661,-0.4490348,-0.016272714
MT330592,0.89589316,-0.44390997,-0.017868623
CY220239,-0.9496139,-0.30234417,0.082591064
MH126411,-0.945613,-0.3143919,0.083508834
MK676827,-0.9591466,-0.2777192,0.053941894
MN000608,-0.9591466,-0.2777192,0.053941894
KY044354,-0.95081025,-0.30625892,0.046533193
KX414920,-0.95081025,-0.30625892,0.046533193
CY222053,-0.9500382,-0.30225253,0.077915736
MH183469,0.88944876,-0.456922,-0.010157637
KX414912,-0.9424153,-0.32395503,0.08310524
CY222061,-0.95652413,-0.28509727,0.061491165
MH585868,-0.9448985,-0.31459138,0.09054958
MK676835,-0.9591466,-0.2777192,0.053941894
MN000616,-0.9591466,-0.2777192,0.053941894
KX406971,0.87245905,-0.48827755,-0.020004062
CY222109,0.8773616,-0.47953787,-0.016738439
MH183477,0.88872296,-0.45839703,-0.006604821
KX407667,0.8780131,-0.47844636,-0.013495082
CY223165,-0.94435817,-0.31695867,0.08789095
MH585876,-0.9451367,-0.31584767,0.08340772
MK268557,-0.9451367,-0.31584767,0.08340772
MK715706,0.8925876,-0.45069373,-0.012753092
KT843470,-0.94547707,-0.3163957,0.07724611
CY223173,-0.94416857,-0.3197879,0.07925555
MK744192,-0.959628,-0.2764329,0.05195135
MN000624,-0.959628,-0.2764329,0.05195135
KT843433,-0.94609773,-0.31484088,0.07598941
CY225350,-0.94416857,-0.3197879,0.07925555
MH245909,0.8853597,-0.46468252,-0.0144338645
MK715714,0.8922921,-0.45129758,-0.012057823
KX003627,-0.94382465,-0.3211375,0.07788334
KX003635,-0.94492114,-0.31551477,0.087031476
KX003643,-0.94492114,-0.31551477,0.087031476
KX003651,-0.94492114,-0.31551477,0.087031476
KX003659,-0.9457543,-0.31355736,0.08503339
KX003667,-0.94492114,-0.31551477,0.087031476
KX003674,-0.94492114,-0.31551477,0.087031476
KX003680,-0.94492114,-0.31551477,0.087031476
KX003686,-0.94492114,-0.31551477,0.087031476
KX003693,-0.9450224,-0.31502634,0.08769926
CY228813,-0.94416857,-0.3197879,0.07925555
CY234344,-0.94416857,-0.3197879,0.07925555
MH898000,-0.9461448,-0.31074315,0.09082238
MK744164,-0.95951885,-0.27556142,0.058219958
MN000632,-0.95951885,-0.27556142,0.058219958
KU590854,-0.9450224,-0.31502634,0.08769926
KX003707,-0.94579655,-0.3145796,0.08067579
KX003715,-0.9450224,-0.31502634,0.08769926
KX003723,-0.94492114,-0.31551477,0.087031476
KX003731,-0.94492114,-0.31551477,0.087031476
KU590942,-0.94492114,-0.31551477,0.087031476
KX003747,-0.94614226,-0.31218484,0.08576371
KX003755,-0.9453208,-0.3141212,0.08772988
KX003771,-0.9461116,-0.31163263,0.08807945
KX003763,-0.9461116,-0.31163263,0.08807945
KX918636,0.8762708,-0.48140758,-0.019905237
MK772135,-0.9591466,-0.2777192,0.053941894
KX003779,-0.9453208,-0.3141212,0.08772988
KX003787,-0.94614226,-0.31218484,0.08576371
KX003795,-0.9453208,-0.3141212,0.08772988
KX003803,-0.94695675,-0.31241354,0.075304836
KX003811,-0.9453451,-0.31393093,0.088148415
KX003819,-0.9454637,-0.31328097,0.08918258
KX003827,-0.944974,-0.31646514,0.08290921
KX003835,-0.9453208,-0.3141212,0.08772988
KX003843,-0.94612026,-0.31151327,0.08840809
KT844331,-0.94492114,-0.31551477,0.087031476
CY235504,-0.9459706,-0.3145092,0.07888977
CY235496,-0.9459706,-0.3145092,0.07888977
MH306751,-0.9448985,-0.31459138,0.09054958
MK027491,-0.9448985,-0.31459138,0.09054958
MK772143,-0.9591466,-0.2777192,0.053941894
MN246189,-0.9591466,-0.2777192,0.053941894
KX003851,-0.94368416,-0.32014725,0.08346164
KX003859,-0.9453451,-0.31393093,0.088148415
KX003867,-0.9454637,-0.31328097,0.08918258
KX003875,-0.94424635,-0.31969586,0.0786985
KT844127,-0.94433165,-0.31629986,0.090510696
KT844135,-0.943255,-0.32160372,0.08271068
KT844143,-0.9454124,-0.31438997,0.08575708
KT844151,-0.9489316,-0.30504465,0.08047801
KT843621,-0.94492114,-0.31551477,0.087031476
KY116086,-0.95212436,-0.30240366,0.044844892
CY230746,-0.94416857,-0.3197879,0.07925555
MH305636,0.8864581,-0.46245635,-0.018060489
MN000637,-0.9591466,-0.2777192,0.053941894
MN246197,-0.9591466,-0.2777192,0.053941894
KT844159,-0.94492114,-0.31551477,0.087031476
KY117007,-0.94492114,-0.31551477,0.087031476
KT844167,-0.94492114,-0.31551477,0.087031476
KT844175,-0.94492114,-0.31551477,0.087031476
KT844183,-0.9458495,-0.31302652,0.0859263
KT844191,-0.94195616,-0.32548246,0.08233914
KT844199,-0.94195616,-0.32548246,0.08233914
KT844207,-0.94195616,-0.32548246,0.08233914
KT844215,-0.94382465,-0.3211375,0.07788334
KT844223,-0.94382465,-0.3211375,0.07788334
KT844231,-0.94382465,-0.3211375,0.07788334
KC883402,-0.9642711,-0.25931802,-0.054179005
KY115790,0.88185114,-0.47109938,-0.020097498
MH305644,0.88671654,-0.4620977,-0.01412179
KT844239,-0.94382465,-0.3211375,0.07788334
KU590101,-0.94492114,-0.31551477,0.087031476
KU589683,-0.94492114,-0.31551477,0.087031476
KU590109,-0.94492114,-0.31551477,0.087031476
KU589691,-0.94492114,-0.31551477,0.087031476
KU590117,-0.94492114,-0.31551477,0.087031476
KU590124,-0.94522214,-0.31585965,0.08238723
KU589699,-0.94522214,-0.31585965,0.08238723
KU589707,-0.94747305,-0.31034076,0.07735374
KU590132,-0.94747305,-0.31034076,0.07735374
KU589715,-0.94195616,-0.32548246,0.08233914
KU590140,-0.94195616,-0.32548246,0.08233914
KU589974,-0.94574606,-0.3144841,0.08163468
KU590305,-0.94574606,-0.3144841,0.08163468
KU589982,-0.94526297,-0.3157502,0.08233911
KU590313,-0.94526297,-0.3157502,0.08233911
KU589990,-0.94195616,-0.32548246,0.08233914
KX003883,-0.94195616,-0.32548246,0.08233914
KY115798,0.8782554,-0.47768536,-0.022003692
CY235640,-0.94284284,-0.32321247,0.08112272
CY235632,-0.94284284,-0.32321247,0.08112272
MH306763,-0.9451367,-0.31584767,0.08340772
MH898008,-0.9451367,-0.31584767,0.08340772
KU590015,-0.94574606,-0.3144841,0.08163468
KU590329,-0.94195616,-0.32548246,0.08233914
KU589998,-0.94195616,-0.32548246,0.08233914
KX412093,-0.94351774,-0.3217624,0.079013884
KX412101,-0.94526297,-0.3157502,0.08233911
KX412109,-0.9468279,-0.31237644,0.077057876
KX412117,-0.9423365,-0.32319108,0.086888485
KX412125,-0.9489316,-0.30504465,0.08047801
KX412133,-0.94195616,-0.32548246,0.08233914
KT844265,-0.9448476,-0.31536233,0.088371776
KX915604,0.880788,-0.47319257,-0.017355312
CY239904,-0.94425166,-0.31490555,0.09603823
MK999450,0.8932777,-0.44929707,-0.0136791
KX412141,-0.946784,-0.31183457,0.07974387
KX412149,-0.9489316,-0.30504465,0.08047801
KX412163,-0.9453208,-0.3141212,0.08772988
KX412171,-0.94492114,-0.31551477,0.087031476
KX412179,-0.94492114,-0.31551477,0.087031476
KX412187,-0.94574606,-0.3144841,0.08163468
KX412195,-0.9489316,-0.30504465,0.08047801
KU589510,-0.94492114,-0.31551477,0.087031476
CY239577,0.87944996,-0.47527477,-0.026106175
MH897954,-0.9438359,-0.3161988,0.095875256
MH358486,-0.9438359,-0.3161988,0.095875256
MN003522,0.8911896,-0.452838,-0.026811987
KU591379,-0.94783896,-0.3090086,0.07819851
KX412200,-0.94492114,-0.31551477,0.087031476
KU591405,-0.9424153,-0.32395503,0.08310524
KX412204,-0.94492114,-0.31551477,0.087031476
KU589534,-0.94492114,-0.31551477,0.087031476
KU589541,-0.94747305,-0.31034076,0.07735374
KX917860,-0.9424153,-0.32395503,0.08310524
CY240087,-0.94270056,-0.32411405,0.07915672
MH359822,0.8938454,-0.44828475,-0.009011524
MN221597,-0.9599036,-0.2752536,0.053109325
MN246218,-0.9599036,-0.2752536,0.053109325
KU589549,-0.9489316,-0.30504465,0.08047801
KU589564,-0.94492114,-0.31551477,0.087031476
CY019955,0.5684824,0.50634074,0.6484187
KX412209,-0.9461389,-0.31309512,0.08241667
KX412217,-0.94964826,-0.3025691,0.08136385
KX412225,-0.9453208,-0.3141212,0.08772988
KX412233,-0.9453208,-0.3141212,0.08772988
KX412241,-0.9453208,-0.3141212,0.08772988
KX915996,0.8788287,-0.47692084,-0.014373409
CY239633,0.8839381,-0.46724677,-0.018272994
MH358494,-0.9448985,-0.31459138,0.09054958
MH845774,-0.9448985,-0.31459138,0.09054958
MN003530,0.8983202,-0.43932554,0.0037434867
KX412249,-0.9453208,-0.3141212,0.08772988
KX412257,-0.9453208,-0.3141212,0.08772988
KX412265,-0.9453208,-0.3141212,0.08772988
KX412273,-0.9504901,-0.29950675,0.08285127
KX003966,-0.94783896,-0.3090086,0.07819851
KU590321,-0.94215846,-0.3250106,0.081887566
KX003974,-0.9445943,-0.31872395,0.078464456
KT844347,-0.94492114,-0.31551477,0.087031476
KX915988,0.8784257,-0.47721323,-0.025217399
CY240079,-0.9476752,-0.3107141,0.07326899
MN246226,-0.9585123,-0.27982315,0.054343577
MN221605,-0.9585123,-0.27982315,0.054343577
KX003982,-0.94522214,-0.31585965,0.08238723
KU591552,-0.94492114,-0.31551477,0.087031476
KX003990,-0.94492114,-0.31551477,0.087031476
KX003997,-0.94492114,-0.31551477,0.087031476
KU591560,-0.94195616,-0.32548246,0.08233914
KU591797,-0.94354475,-0.32176244,0.078691594
KU591976,-0.945504,-0.31406373,0.08594239
KU591984,-0.9448678,-0.3153668,0.088138916
KU591992,-0.94747305,-0.31034076,0.07735374
KT889133,-0.961828,-0.26829597,-0.053891454
KX916788,-0.94785905,-0.31110537,0.069113106
KY044187,-0.94785905,-0.31110537,0.069113106
CY240063,-0.94882774,-0.30589202,0.07845976
CY242222,-0.94882774,-0.30589202,0.07845976
MN083370,0.88587284,-0.46379384,-0.011160334
KU591805,-0.94908404,-0.303743,0.08354373
KU591813,-0.94908404,-0.303743,0.08354373
KU591821,-0.94492114,-0.31551477,0.087031476
KU590762,-0.9453208,-0.3141212,0.08772988
KU590770,-0.9453208,-0.3141212,0.08772988
KX412292,-0.94500464,-0.31730294,0.079277925
KU591829,-0.946784,-0.31183457,0.07974387
KU592000,-0.94492114,-0.31551477,0.087031476
KU592008,-0.94938004,-0.30399564,0.07914589
KX916780,-0.9468601,-0.31324685,0.073023066
CY240071,-0.94882774,-0.30589202,0.07845976
MH601233,-0.94814104,-0.30540723,0.08806261
MN318977,-0.9603191,-0.27372956,0.053471934
MN084112,-0.9603191,-0.27372956,0.053471934
KU592016,-0.9500545,-0.30000055,0.086000636
KU591837,-0.94574606,-0.3144841,0.08163468
KY116959,-0.9446312,-0.31789708,0.08132137
KU592024,-0.94195616,-0.32548246,0.08233914
KX412300,-0.9430268,-0.32225662,0.0827703
KU592032,-0.94492114,-0.31551477,0.087031476
KU592040,-0.94492114,-0.31551477,0.087031476
KU591845,-0.94195616,-0.32548246,0.08233914
KU592048,-0.94195616,-0.32548246,0.08233914
KU591853,-0.9468279,-0.31237644,0.077057876
KU590778,-0.94720477,-0.31102103,0.077904075
CY208928,-0.9421073,-0.3227408,0.09095178
KY003458,-0.9421073,-0.3227408,0.09095178
CY244513,-0.94880843,-0.30664837,0.07569226
CY242310,-0.94880843,-0.30664837,0.07569226
MH601242,0.8858321,-0.46375573,-0.015237824
MN318985,-0.9586102,-0.2792661,0.05547069
MN084120,-0.9586102,-0.2792661,0.05547069
KY116951,-0.9507338,-0.30105892,0.07395198
KU592056,-0.9468279,-0.31237644,0.077057876
KU592064,-0.946784,-0.31183457,0.07974387
KU590796,-0.9453208,-0.3141212,0.08772988
KU592072,-0.94195616,-0.32548246,0.08233914
KU591861,-0.94195616,-0.32548246,0.08233914
KU591868,-0.94657916,-0.31118464,0.08457003
KU591876,-0.94492114,-0.31551477,0.087031476
KU592080,-0.94574606,-0.3144841,0.08163468
KX412317,-0.94492114,-0.31551477,0.087031476
KU592088,-0.946784,-0.31183457,0.07974387
KT844356,-0.94492114,-0.31551477,0.087031476
CY208920,-0.9414235,-0.32459706,0.09142549
KY003415,-0.9414235,-0.32459706,0.09142549
CY242318,-0.9446617,-0.31466305,0.0927442
MH601250,0.88584256,-0.46385053,-0.011212191
MN083378,0.89336216,-0.4493178,-0.004202965
KX412324,-0.943432,-0.32191694,0.079409
KX412331,-0.94938004,-0.30399564,0.07914589
KX412338,-0.9473151,-0.30965343,0.08190835
KU590526,-0.9494893,-0.3026246,0.08299642
KU590534,-0.94550693,-0.31398186,0.08620972
KU590542,-0.9468279,-0.31237644,0.077057876
KU590550,-0.94492114,-0.31551477,0.087031476
KU591268,-0.9432864,-0.32356647,0.074267104
KU591276,-0.9432864,-0.32356647,0.074267104
KU591284,-0.94581646,-0.31327134,0.085394256
KT843655,-0.94989336,-0.3025068,0.078690656
CY243519,-0.9456543,-0.31170648,0.092612155
MN221610,-0.96022284,-0.2730144,0.058611643
MN423454,-0.96022284,-0.2730144,0.058611643
KU592120,-0.9468279,-0.31237644,0.077057876
KU592127,-0.94581646,-0.31327134,0.085394256
KU591590,-0.94581646,-0.31327134,0.085394256
KU509767,0.8763955,-0.4810504,-0.022833105
KX004699,0.87469554,-0.48413298,-0.02286725
KX004186,0.875139,-0.48331654,-0.023167461
KX413457,-0.9437311,-0.3220618,0.07515169
KX413521,-0.9424153,-0.32395503,0.08310524
KX413529,-0.94720477,-0.31102103,0.077904075
KT889139,-0.9624842,-0.26520178,-0.057377957
CY211522,-0.9483836,-0.3099565,0.06704826
CY210203,-0.9483836,-0.3099565,0.06704826
CY243535,-0.946692,-0.3130728,0.07589309
MH601254,-0.9448985,-0.31459138,0.09054958
MN221618,-0.9585123,-0.27982315,0.054343577
MN423462,-0.9585123,-0.27982315,0.054343577
CY209120,-0.94353926,-0.31760585,0.09412872
CY243527,-0.94879395,-0.3016042,0.09394132
CY244942,-0.94879395,-0.3016042,0.09394132
MN552551,-0.9503472,-0.3010301,0.07887363
MN371525,-0.9503472,-0.3010301,0.07887363
KT843776,-0.94492114,-0.31551477,0.087031476
CY227062,-0.9454365,-0.3092515,0.102534674
CY209128,-0.9454365,-0.3092515,0.102534674
CY243543,-0.94835705,-0.30696133,0.07996022
MH601266,0.88944876,-0.456922,-0.010157637
KT843784,-0.94492114,-0.31551477,0.087031476
CY210432,-0.94353926,-0.31760585,0.09412872
CY244950,-0.9446617,-0.31466305,0.0927442
CY243551,-0.9446617,-0.31466305,0.0927442
MN638432,-0.9503472,-0.3010301,0.07887363
MN423467,-0.9503472,-0.3010301,0.07887363
KT844038,-0.94492114,-0.31551477,0.087031476
CY210440,-0.9482349,-0.30573305,0.0858941
MH601274,0.88923925,-0.45735776,-0.008789528
MN423475,-0.95374584,-0.2908709,0.07591425
CY212474,-0.9457456,-0.30916741,0.099903904
CY243567,-0.94351536,-0.31933093,0.08835459
MH601282,-0.9451367,-0.31584767,0.08340772
MN507299,-0.9508413,-0.29983577,0.0774552
KT843801,-0.94577664,-0.31524542,0.07827477
CY212482,-0.94252187,-0.3200458,0.096037775
CY243575,-0.94933003,-0.30040696,0.092347816
CY244966,-0.94933003,-0.30040696,0.092347816
MH600119,0.8894761,-0.45633176,-0.024362758
MN507307,-0.95050997,-0.3007308,0.078049846
MN638446,-0.95050997,-0.3007308,0.078049846
KT843809,-0.94492114,-0.31551477,0.087031476
CY243583,-0.94882774,-0.30589202,0.07845976
MH600575,-0.94623053,-0.3108986,0.08938604
MH792474,-0.94623053,-0.3108986,0.08938604
MN507244,0.89383763,-0.44762662,-0.026167553
KT843817,-0.94492114,-0.31551477,0.087031476
CY213154,-0.9489924,-0.3040489,0.08347273
CY228086,-0.9489924,-0.3040489,0.08347273
CY244974,-0.9429955,-0.3176212,0.09937951
